"MatchStatus","q_built","q_minor","n","share"
"google_only",1,1,168,0.049970255800118976
"google_only",1,2,170,0.05056513979773944
"google_only",1,3,154,0.04580606781677573
"google_only",1,4,192,0.057108863771564544
"google_only",1,5,365,0.10856632956573468
"google_only",2,1,121,0.03599048185603807
"google_only",2,2,89,0.02647233789411065
"google_only",2,3,130,0.03866745984533016
"google_only",2,4,149,0.044318857822724565
"google_only",2,5,238,0.07079119571683522
"google_only",3,1,159,0.047293277810826886
"google_only",3,2,159,0.047293277810826886
"google_only",3,3,163,0.04848304580606782
"google_only",3,4,169,0.05026769779892921
"google_only",3,5,232,0.06900654372397383
"google_only",4,1,101,0.030041641879833433
"google_only",4,2,115,0.03420582986317668
"google_only",4,3,129,0.03837001784651993
"google_only",4,4,121,0.03599048185603807
"google_only",4,5,71,0.021118381915526473
"google_only",5,1,43,0.012790005948839975
"google_only",5,2,35,0.01041046995835812
"google_only",5,3,42,0.012492563950029744
"google_only",5,4,30,0.00892325996430696
"google_only",5,5,15,0.00446162998215348
"google_only",NA,1,1,2.97441998810232e-4
"google_only",NA,3,1,2.97441998810232e-4
"matched",1,1,13,0.03494623655913978
"matched",1,2,15,0.04032258064516129
"matched",1,3,28,0.07526881720430108
"matched",1,4,28,0.07526881720430108
"matched",1,5,31,0.08333333333333333
"matched",2,1,9,0.024193548387096774
"matched",2,2,9,0.024193548387096774
"matched",2,3,10,0.026881720430107527
"matched",2,4,14,0.03763440860215054
"matched",2,5,16,0.043010752688172046
"matched",3,1,11,0.02956989247311828
"matched",3,2,14,0.03763440860215054
"matched",3,3,10,0.026881720430107527
"matched",3,4,19,0.051075268817204304
"matched",3,5,15,0.04032258064516129
"matched",4,1,11,0.02956989247311828
"matched",4,2,12,0.03225806451612903
"matched",4,3,20,0.053763440860215055
"matched",4,4,13,0.03494623655913978
"matched",4,5,5,0.013440860215053764
"matched",5,1,18,0.04838709677419355
"matched",5,2,19,0.051075268817204304
"matched",5,3,16,0.043010752688172046
"matched",5,4,13,0.03494623655913978
"matched",5,5,3,0.008064516129032258
"osm_only",2,1,52,0.024916147580258743
"osm_only",2,2,68,0.03258265452803066
"osm_only",2,3,71,0.0340201245807379
"osm_only",2,4,88,0.04216578821274557
"osm_only",2,5,100,0.04791566842357451
"osm_only",3,1,41,0.01964542405366555
"osm_only",3,2,38,0.01820795400095831
"osm_only",3,3,53,0.02539530426449449
"osm_only",3,4,58,0.027791087685673215
"osm_only",3,5,23,0.011020603737422138
"osm_only",4,1,104,0.04983229516051749
"osm_only",4,2,143,0.06851940584571155
"osm_only",4,3,155,0.07426928605654048
"osm_only",4,4,138,0.06612362242453282
"osm_only",4,5,26,0.012458073790129372
"osm_only",5,1,313,0.14997604216578822
"osm_only",5,2,278,0.13320555821753713
"osm_only",5,3,182,0.08720651653090561
"osm_only",5,4,132,0.06324868231911836
"osm_only",5,5,24,0.011499760421657882
