"source","id","name","lat","lon"
"osm",1491288310,"Juice",18.7910608,98.990484
"osm",1491288849,"Chiang Mai Tea House",18.7910105,98.990241
"osm",1598982582,NA,18.7880705,98.9889753
"osm",1598984446,"Wawee Coffee",18.7878605,98.9901618
"osm",2039922767,NA,18.790668,98.9896486
"osm",2039957239,"บ้านลุงหมี",18.7883529,98.9868525
"osm",2039958427,NA,18.7883502,98.9869107
"osm",2404044286,"Akha Ama Phrasingh",18.7884334,98.9832565
"osm",2419667430,"Rajdamnoen Coffee",18.7882024,98.9853463
"osm",2442812998,"Pacamara",18.7883537,98.9866577
"osm",2466401386,"NAP'S Coffee Roaster",18.7895742,98.9849839
"osm",2598509572,"Kaffe 151",18.7908106,98.9876772
"osm",2907507673,NA,18.7901527,98.9841078
"osm",2907507674,NA,18.7903225,98.9840948
"osm",2907507675,NA,18.7903329,98.9842465
"osm",2907507676,NA,18.7901607,98.9842597
"osm",3197689690,"Tree Sis Coffee",18.7894105,98.9828254
"osm",3287033149,"Café de Museum",18.7899164,98.9883037
"osm",3317902512,"โอลด์ดี้ กาแฟไทย",18.795912,98.9840967
"osm",3371232076,"มิ่งมิตร",18.7952239,98.9873735
"osm",3385494997,"Fern Forest Cafe",18.7933869,98.9820298
"osm",3654118480,NA,18.7901598,98.9842445
"osm",3843126641,"La Mango",18.7897178,98.9876941
"osm",3907871477,"My Secret Cafe",18.7881064,98.9832319
"osm",4132247489,"Kaldi Coffee House",18.7881543,98.9868201
"osm",4212373091,"Kalapela Tea House",18.788226,98.986528
"osm",4225187389,"Nine coffee",18.7899541,98.9815961
"osm",4358697789,NA,18.7907398,98.9877289
"osm",4364338694,"เฟื่องฟ้า คาเฟ่",18.790517,98.9901654
"osm",4440847089,"Taa Peng Cat",18.7875454,98.9825295
"osm",4476187491,NA,18.7948406,98.9867921
"osm",4511392791,NA,18.7886123,98.9903276
"osm",4552503190,"Miracle coffee",18.7943827,98.9900777
"osm",4559427489,"Come on coffe",18.7923413,98.990186
"osm",4608105020,"The Chef",18.7930512,98.9894928
"osm",4623096989,"Kati breakfast & brunch",18.7880558,98.9886072
"osm",4655307491,"Rakuda",18.7906661,98.984241
"osm",4706095492,NA,18.7945267,98.9888978
"osm",4730080789,"Viya",18.7896109,98.9835572
"osm",4746299757,NA,18.7887205,98.9903275
"osm",4746299760,NA,18.7886125,98.9904306
"osm",4746299762,NA,18.7887206,98.9904305
"osm",4746303159,NA,18.7878945,98.9894507
"osm",4820434529,"Vigie Sist Cafe",18.7921906,98.9901698
"osm",4848162508,NA,18.7930042,98.986253
"osm",4848162509,NA,18.7929155,98.9862525
"osm",4848162510,NA,18.7929158,98.9861856
"osm",4848162511,NA,18.7930045,98.9861861
"osm",4961026130,"Brown Rice Organic Cafe",18.7884397,98.9825826
"osm",5234228721,NA,18.7946636,98.9860456
"osm",5271367722,"Punsanook Healthy Juice",18.7924726,98.981968
"osm",5287393821,NA,18.7945096,98.9892969
"osm",5421752121,NA,18.793436,98.9876037
"osm",5555784176,NA,18.7909579,98.9862277
"osm",5555784177,NA,18.790914,98.9863897
"osm",5555784178,NA,18.7908043,98.9863907
"osm",5555784179,NA,18.790803,98.986229
"osm",5558856823,"Wake Up Coffee",18.7960732,98.981635
"osm",5613364523,NA,18.7895311,98.9841306
"osm",5621081721,"Mana Café",18.7952269,98.9871793
"osm",5623443421,"Fact Café",18.7933766,98.987445
"osm",5919670289,"ZMOY",18.7934646,98.9904108
"osm",5987644570,"Blue Cafe",18.788255,98.9886906
"osm",6094446495,"Simply Happy",18.7932022,98.9852029
"osm",6169881285,NA,18.7878384,98.9904428
"osm",6169881286,NA,18.7879217,98.9896735
"osm",6172714088,NA,18.7894508,98.987968
"osm",6195852585,"Dark roast",18.7943757,98.9899425
"osm",6217558285,NA,18.7892227,98.9879913
"osm",6433469585,NA,18.7902374,98.9900152
"osm",6611483685,"R-Ree-DOI Cafe",18.7935629,98.9876373
"osm",6611483785,NA,18.7934717,98.9874284
"osm",6728843985,NA,18.7936126,98.9863095
"osm",6728843986,NA,18.7934764,98.9862071
"osm",6745272892,"Rich Coffee",18.7951875,98.9889836
"osm",7023395505,NA,18.78767,98.9825929
