"Name","Latitude","Longitude","MatchStatus","PlaceID","OsmID","Dist_m","Rating","UserRatingsTotal","URL","OpeningHours"
"GoodCoffee",18.9175837,99.00388540000002,"google_only","ChIJ4VYliEA92jARVm7yVfsN0cg",NA,NA,NA,NA,NA,NA
"Din House​& Coffee​",18.9179621,98.9739508,"google_only","ChIJy-yGiQM92jARiUpc-hA-n4g",NA,NA,NA,NA,NA,NA
"kAI''$ Café",18.9179862,98.9054127,"google_only","ChIJz9LL2Pw_2jARzSQIcRWhJ9Q",NA,NA,NA,NA,NA,NA
"On top coffee",18.9180044,98.9109111,"google_only","ChIJH1y-NBc_2jARXVvQLwpzMuI",NA,NA,5,13,NA,NA
"Begonia cafe ร้านอาหาร หัวหลักหัวตอ",18.9182802,99.2353741,"google_only","ChIJkUxXZwKL2TARxsKeEFaLUrc",NA,NA,4.6,122,NA,NA
"ร้าน Hop chafe สาขาแม่แรม",18.9183737,98.9120393,"google_only","ChIJsYTuSFk_2jARhyuuWKCl1qc",NA,NA,5,1,NA,NA
"F3 Café - Friend Fern Fin at Mae Rim",18.9184374,98.9746734,"google_only","ChIJF91CwJ892jARvbR-IlryVUM",NA,NA,5,4,NA,NA
"ชา-ปัง-เปา CHA-PANG-PAO",18.9185263,98.9521127,"google_only","ChIJ3271Zto92jARg8Qh3_yXb88",NA,NA,NA,NA,NA,NA
"ร้าน มม.คาเฟ่ MM.cafe เชียงใหม่ แม่ริม",18.9185682,98.9521262,"google_only","ChIJLxR2cGs92jARknr-VFJnx7s",NA,NA,5,1,NA,NA
"SalTu Cafe - แซลทู คาเฟ่",18.9186901,98.952391,"google_only","ChIJyR6sdTY_2jAR3kZTwy3vYNU",NA,NA,5,2,NA,NA
"อาหาร และ เครื่องดื่มเพื่อสุขภาพ วิลโลวี่ คาเฟ่ Willowy Cafe",18.9186978,98.9523854,"google_only","ChIJ943AeWg92jARvbyY6l7JVyw",NA,NA,NA,NA,NA,NA
"Matcha UP in home",18.9187646,98.9616751,"google_only","ChIJfzz1-rg92jARBj_78O0MvNc",NA,NA,5,1,NA,NA
"Food and drink",18.9189612,99.2359126,"google_only","ChIJuYs9czKL2TARNo2ep8lYR2s",NA,NA,4.5,2,NA,NA
"Aimi Coffee",18.9191569,98.9151588,"google_only","ChIJh_M5NYk_2jARWNWMLlBMJN4",NA,NA,5,11,NA,NA
"Baristaneer (บาริสทาเนียร์ คาเฟ่ แอนด์ อคาเดมี่)",18.9191915,98.967665,"google_only","ChIJhQxGfjU72jAR71yU5sA2g6o",NA,NA,4.9,191,NA,NA
"Awake Coffee",18.9192074,99.2362657,"google_only","ChIJq21R9wKL2TAR1ZJ23kgPR-Q",NA,NA,4.6,49,NA,NA
"นวลตา โฮมเมดเบเกอรี่",18.9192123,98.9580409,"google_only","ChIJEd6F9hA92jARfClBZGyueKQ",NA,NA,5,2,NA,NA
"ของขวัญกาแฟสด",18.91925579999999,98.9534934,"google_only","ChIJ2Th3gSI92jARV3qlBnvrCEk",NA,NA,NA,NA,NA,NA
"ร้านกระแตโฮม",18.9193146,98.9587446,"google_only","ChIJOy-gSwA92jARug2UJ7jizDs",NA,NA,5,1,NA,NA
"เตยหอม ชานมไข่มุก",18.9193307,98.957176,"google_only","ChIJR2ll1ck92jARdL25wxwP67o",NA,NA,5,12,NA,NA
"ร้านกินชามะ kin cha ma",18.9194304,98.9567531,"google_only","ChIJL3j7r9Q92jARotLVZT3NfHo",NA,NA,5,3,NA,NA
"CAFFÉ MUAN CHON",18.9197658,98.91731,"google_only","ChIJe3gBnoY-2jARim32e1LtbIU",NA,NA,4.3,9,NA,NA
"สุขใจ sukjai",18.9198825,98.9595468,"google_only","ChIJbR_l2t872jARG_DrO-3hVmE",NA,NA,5,1,NA,NA
"Rotionepercent",18.9199154,98.9170484,"google_only","ChIJmeslHQA_2jARuSeqlMrkf9c",NA,NA,NA,NA,NA,NA
"93 Maesalong Coffee",18.9199196,98.9564265,"google_only","ChIJefzOqhY92jARp4725fq6etc",NA,NA,5,1,NA,NA
"สวนฉัตรคาเฟ่",18.9199298,98.2027742,"google_only","ChIJ7W2jpNjr2jAR3fq45s8Ktj4",NA,NA,5,2,NA,NA
"Valhalla skate house",18.9205637,98.9646034,"google_only","ChIJEynOYX892jARw2KBMidhH6Y",NA,NA,5,5,NA,NA
"กาแฟในสวน by โคกหนองนา ป่าไผ่โมเดล",18.9206032,99.0333927,"google_only","ChIJGxLKA6Mj2jARpSFM-4Q0r54",NA,NA,4.6,7,NA,NA
"ร้าน Keep Me Delivery",18.9206132,98.9567063,"google_only","ChIJAWwoD_M92jAROy6wO92qcDY",NA,NA,NA,NA,NA,NA
"ร้านกาแฟช่อลดาคอฟฟี่เเอนด์ทีแม่ริม",18.9206523,98.9578955,"google_only","ChIJszG6aRs92jARj2xPaK1nehY",NA,NA,5,2,NA,NA
"กล้วยทอดสองยายหลาน มุมกาแฟ ตะวัน ดาว",18.9208392,98.9507008,"google_only","ChIJk6o7eGY92jARQVyvQXXYUMQ",NA,NA,NA,NA,NA,NA
"บ้านไร่อุดมโฮมสเตย์&Coffee",18.9208676,99.3587577,"google_only","ChIJzT4C02WN2TAR0Fja5KSMF3Q",NA,NA,4.7,20,NA,NA
"A KHA YA COFFEE",18.9209995,99.0393174,"google_only","ChIJe8Dz2sIj2jARK9SBvWfpI2g",NA,NA,4.9,28,NA,NA
"กาแฟลอยน้ำ@โคกหนองนาป่าไผ่โมเดล",18.9210227,99.0335092,"google_only","ChIJgX0B2JAj2jARoS_RvKWy44M",NA,NA,NA,NA,NA,NA
"เก้าร้อยไร่ คอฟฟี่",18.921173,99.045649,"google_only","ChIJ2ZK-AIUj2jARyW7RV0DrKHE",NA,NA,4.7,7,NA,NA
"ข้างบ้าน KHANG BAN แม่ริม",18.9212258,98.9602018,"google_only","ChIJGaRCSiw92jARrlJjcTJu878",NA,NA,NA,NA,NA,NA
"สบาย คอฟน",18.9213868,99.3324237,"google_only","ChIJf8lUfACN2TARYqZAXkIQJcQ",NA,NA,5,2,NA,NA
"Jawh Panghi Roastery",18.9214905,99.3327296,"google_only","ChIJDzVr2pIn2jAR_0OjFpQsBZg",NA,NA,NA,NA,NA,NA
"Hana Garden แม่ริม",18.9216321,98.954836,"google_only","ChIJqf3Umow92jAReHy1Zn5_Fpc",NA,NA,4.9,63,NA,NA
"Shooter cafe",18.9216326,98.9233446,"google_only","ChIJQzwqMfM_2jARbsGhq2UafSY",NA,NA,5,4,NA,NA
"บ้านสวนไผ่ริมธาร",18.9216919,99.0373563,"google_only","ChIJE1rYyyMj2jARgIvNT3IVpRk",NA,NA,5,1,NA,NA
"ยวงคำคอฟฟี่",18.9217756,99.3331985,"google_only","ChIJGXobBnqN2TARcCgb39myUo8",NA,NA,5,1,NA,NA
