Name,Latitude,Longitude,MatchStatus,PlaceID,OsmID,Dist_m,Rating,UserRatingsTotal,URL,OpeningHours
coffee process,18.552878,98.4801852,matched,ChIJO-HUcQAB2zARJmstqXq4FR8,262581744,10.3920660842046,4,9,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Hug Ner Coffee,19.3786205,98.7216325,matched,ChIJ-SkVRd-d0DARTbyMb6ijx-c,868590987,2.0716349149248736,4.6,109,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Café Amazon,19.353153,98.9639651,matched,ChIJD7jyUnmn0DARJ-p_-7CAUIQ,1012161651,2.985832795903265,3.9,21,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,Mo-Su 07:00-19:00
Café Amazon,18.6786874,99.0494064,matched,ChIJU6pxxtYt2jARXPFF1iaUji0,1017739602,1.1881078116896286,4.3,240,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,Mo-Su 06:30-19:00
Café Amazon,18.7217171,99.0380523,matched,ChIJZwRL7JUv2jAR_XloGK5LQC4,1029578473,4.12833125310136,4.2,170,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Big C Hang Dong #2,18.6684192,98.9136551,matched,ChIJ8WzeXg002jARYYNNaex1eOQ,1058639339,5.116805523749523,4.1,48,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Love is coffee time,18.7662186,99.083002,matched,ChIJDbyA6Vwv2jAR47CBqZ9zQ5s,1093720093,0.8119750139401513,4.9,45,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Cafe de L'Amour,18.781063,99.00074,matched,ChIJw7JZ8qc62jARrSmQF4ONEoo,1101287698,6.258142520621114,4.6,429,https://m.facebook.com/lamour.chiangmai,08:30-21:00
Starbucks,18.7837905,99.0001525,matched,ChIJH2JmRKQ62jARSAPBJj8iAjg,1101288715,4.128308537855208,4.3,619,https://www.starbucks.com/,"Mo-Fr 06:30-23:00; Sa,Su 06:30-22:00"
Starbucks Nimmanhemin Soi 9,18.79752569999999,98.9668167,matched,ChIJ397BKGM62jARjFC4ar4naQ0,1127593959,12.465507662079476,4.4,971,https://www.starbucks.com/,NA
ร้าน สถานีวิจัยกาแฟ,18.8386966,98.8963676,matched,ChIJZ6u0HwA52jARB_bCfxEGOHg,1169723115,17.83709210729718,NA,NA,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Café Amazon ปตท.พร้าว,19.3688295,99.2004166,matched,ChIJdzMnejBV1zARROLhga_heI4,1248118434,0.801940199048758,4.4,36,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,NA
Baan Siri Coffee&Food,19.80501509999999,99.1679064,matched,ChIJY4wbJ17L0DARBAtFf5MdEBw,1348997661,4.884080863459251,4.2,29,https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip,Mo-Su 07:30-18:30
