"tile_id","place_id","name","rating","user_ratings_total","status","GID_1","GID_0","COUNTRY","NAME_1","VARNAME_1","NL_NAME_1","TYPE_1","ENGTYPE_1","CC_1","HASC_1","ISO_1","lon","lat"
"1","ChIJg9Nc17v13DARel9FUbILuM4","หน้าบ้าน คาเฟ่-Hnaban Cafe'",4.7,3,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.4619366,17.3983815
"1","ChIJyXm80UL13DARZGZylNMwIGQ","ครัวลูกเขย",4.8,15,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.4615711,17.3979038
"1","ChIJnfAfknj33DARO9DIZ4MyEx4","ครัวลุงแหวง​(ร้านสุดท้ายก่อนขึ้นดอย)​",4.8,12,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.46739679999999,17.3876185
"1","ChIJd-nL-fD13DARKDFKApCHhWg","Tuen Coffee",5,24,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.46087849999999,17.3975883
"1","ChIJg1tOD4X33DARQUzUA_SFkiM","ก๋วยเตี๋ยวริมน้ำ by เจ้อ้อม",5,1,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.46749249999999,17.386472
"1","ChIJhcGicwD13DARodLypUMS-Ug","ปัง ปัง เครป pang pang crepes",5,1,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.456497099999993,17.4140056
"1","ChIJ7R0q24713DARaFMwLsbeBGY","ร้านข้าวมันไก่ใบเตย",4.5,10,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.4577369,17.4161863
"1","ChIJXWJupXj13DARVHVqDtC6hDY","ร้าน ฮ่อมสบาย",3.8,4,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.4573051,17.4022865
"1","ChIJO0h7Rc_13DARD2VQc_XZe7Y","ร้านไก่ย่างวิเชียรบุรี สาขา 4",5,1,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.45399479999999,17.4102837
"1","ChIJSSuwMtv13DARKMQv5HoRRRs","Pa Kam Pochana",4.6,5,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.4547996,17.4064667
