"tile_id","place_id","name","rating","user_ratings_total","status","GID_1","GID_0","COUNTRY","NAME_1","VARNAME_1","NL_NAME_1","TYPE_1","ENGTYPE_1","CC_1","HASC_1","ISO_1","lon","lat"
"1","ChIJrQLWVHPx3DARnBk3AhgFURg","Coffee master กาแฟคั่วมือ",NA,NA,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.33291,17.315479
"1","ChIJcTVqE9v73DARteCtS5wDvXQ","Forest Coffee beans",5,1,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.3483562,17.2940687
"1","ChIJyWb9jzL73DARgR2LJlcBy00","GooNoo Black Coffee",4.5,2,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.3539659,17.2909708
"3","ChIJfzwqpu333DARBtvQkp9HI9E","มาดามคอฟฟี่ ณ.ทีวาโกล",5,4,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.483606,17.376925
"3","ChIJDWYN3Uf33DARSunxm6c1bTc","โรงตาก กาแฟ",5,1,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.4821875,17.3664375
"3","ChIJEaBO54z33DAR3LMwgLZDBAw","มิกะ คาเฟ่ mika.cafe",5,4,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.46266250000001,17.3911913
"3","ChIJd-nL-fD13DARKDFKApCHhWg","Tuen Coffee",5,24,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.46087849999999,17.3975883
"3","ChIJ3SAy17f13DARJ_NqB6uU1cQ","หลงยุค ๙๐ คาแฟ่",5,4,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.46688739999999,17.4002161
"3","ChIJD0DLpt713DARkMoj2CPWnCE","Country Road 1099 Cafe'",3.5,2,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.4578362,17.40024949999999
"3","ChIJn1gIDdz13DARAUwXqws5rdM","Nan nat bakery & coffee",4.1,22,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.457377,17.401821
"3","ChIJgRaRcUv13DARLk1AkgI1Yl0","ม่อนอีลู&ชาคุมะบ้านใหม่",NA,NA,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.4561121,17.4023799
"3","ChIJ7X4DtXr13DARJMsVl6Omw3s","ร้าน​กาแฟ​กะเจ่อ​ถิ(ตีน​ดอน)​",NA,NA,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.45559759999999,17.4026879
