Name,Latitude,Longitude,MatchStatus,PlaceID,OsmID,Dist_m,Rating,UserRatingsTotal,URL,OpeningHours
Coffee master กาแฟคั่วมือ,17.315479,98.33291,google_only,ChIJrQLWVHPx3DARnBk3AhgFURg,NA,NA,NA,NA,NA,NA
Forest Coffee beans,17.2940687,98.3483562,google_only,ChIJcTVqE9v73DARteCtS5wDvXQ,NA,NA,5,1,NA,NA
GooNoo Black Coffee,17.2909708,98.3539659,google_only,ChIJyWb9jzL73DARgR2LJlcBy00,NA,NA,4.5,2,NA,NA
มาดามคอฟฟี่ ณ.ทีวาโกล,17.376925,98.483606,google_only,ChIJfzwqpu333DARBtvQkp9HI9E,NA,NA,5,4,NA,NA
โรงตาก กาแฟ,17.3664375,98.4821875,google_only,ChIJDWYN3Uf33DARSunxm6c1bTc,NA,NA,5,1,NA,NA
มิกะ คาเฟ่ mika.cafe,17.3911913,98.4626625,google_only,ChIJEaBO54z33DAR3LMwgLZDBAw,NA,NA,5,4,NA,NA
Tuen Coffee,17.3975883,98.4608785,google_only,ChIJd-nL-fD13DARKDFKApCHhWg,NA,NA,5,24,NA,NA
หลงยุค ๙๐ คาแฟ่,17.4002161,98.4668874,google_only,ChIJ3SAy17f13DARJ_NqB6uU1cQ,NA,NA,5,4,NA,NA
Country Road 1099 Cafe',17.40024949999999,98.4578362,google_only,ChIJD0DLpt713DARkMoj2CPWnCE,NA,NA,3.5,2,NA,NA
Nan nat bakery & coffee,17.401821,98.457377,google_only,ChIJn1gIDdz13DARAUwXqws5rdM,NA,NA,4.1,22,NA,NA
ม่อนอีลู&ชาคุมะบ้านใหม่,17.4023799,98.4561121,google_only,ChIJgRaRcUv13DARLk1AkgI1Yl0,NA,NA,NA,NA,NA,NA
ร้าน​กาแฟ​กะเจ่อ​ถิ(ตีน​ดอน)​,17.4026879,98.4555976,google_only,ChIJ7X4DtXr13DARJMsVl6Omw3s,NA,NA,NA,NA,NA,NA
ร้าน Check in เมืองตื๋น,17.4103296,98.4550234,google_only,ChIJrYxf2yH13DAR2Nm0dzxWUmk,NA,NA,NA,NA,NA,NA
พอเพียงคาเฟ่,17.4141239,98.456706,google_only,ChIJPXqd-tX13DARS2UWGaeyu-g,NA,NA,4.5,4,NA,NA
เก๊าบะขามคาเฟ่,17.4300834,98.5344118,google_only,ChIJ6x2tBatf3DARGmAY6TmkL9E,NA,NA,NA,NA,NA,NA
เก่อชอวา คอฟฟี่,17.4997563,98.4838145,google_only,ChIJ87wGTUCL3DAR5e7kacZ-j5s,NA,NA,NA,NA,NA,NA
หม่าวี่โจcoffee@homestay,17.4960638,98.4848861,google_only,ChIJ6RVvKzRf3DARQAnpYYGKfxQ,NA,NA,5,7,NA,NA
ลูกเขยดอย coffee,17.572276,98.522539,google_only,ChIJRfJEUwBh3DARxrECiHk7oJs,NA,NA,5,2,NA,NA
Napee por coffee,17.569218,98.523619,google_only,ChIJCbXHCZNh3DARHQnbpPchLKw,NA,NA,NA,NA,NA,NA
คอฟฉะโฮมคาเฟ่,17.630099,98.440357,google_only,ChIJkWc0HgCD3DARMkd3LyeUxio,NA,NA,NA,NA,NA,NA
คอฟฉะโฮมคาเฟ่,17.6300994,98.4403573,google_only,ChIJ81GuvSuJ3DAR7n_83VMlSqU,NA,NA,NA,NA,NA,NA
ร้าน พอใจกาแฟ,17.7980298,98.3570646,google_only,ChIJ8wyvLyyD3DAREYRckrc8lG0,NA,NA,NA,NA,NA,NA
ร้านฮักกั๋นกาแฟสด,17.7980291,98.357768,google_only,ChIJOQCw1vwF2zARgc72X2VuJ4E,NA,NA,4.9,17,NA,NA
ร้านกาแฟไก่ไข่ อมก๋อย,17.7989556,98.3571291,google_only,ChIJSTg3O6uD3DARIPmW9Bpquy0,NA,NA,5,2,NA,NA
หน้าบ้านกาแฟสด,17.7980116,98.3581566,google_only,ChIJp3q1dwCD3DAROxnLKN-9f9I,NA,NA,NA,NA,NA,NA
บ้านนมชัยโชติ,17.79789539999999,98.3586672,google_only,ChIJrVYFHCqD3DARaCHInVS-o6k,NA,NA,NA,NA,NA,NA
กาแฟทีคี บ้านหลวง,17.79199,98.3617986,google_only,ChIJwS7i_F6D3DARoghgRCGlwUQ,NA,NA,NA,NA,NA,NA
BabyBoom Cafeine,17.8004042,98.3597874,google_only,ChIJ52kkSaKD3DARx6m0lGe8MtU,NA,NA,3.5,4,NA,NA
โฮงรถคาเฟ่,17.8000106,98.3606564,google_only,ChIJc0OlWaKD3DARydgnZJ_8Kbw,NA,NA,4.8,29,NA,NA
หน้าบ้านป้าลี,17.799811299999998,98.3608504,google_only,ChIJq8l8dgB92zARSR9K_tfsiQs,NA,NA,NA,NA,NA,NA
Coffee Cill,17.7996105,98.3617887,google_only,ChIJ0YpE7KKD3DARzg-utieQzQc,NA,NA,3.5,2,NA,NA
ณ อมก๋อย,17.8010191,98.3610571,google_only,ChIJ6SLgAKOD3DAR4GJ8aS32dzY,NA,NA,4.6,9,NA,NA
เฮือนข้าวแฟ,17.8006094,98.3613756,google_only,ChIJXfjU_6KD3DARAQ8yjxDLKo8,NA,NA,4.2,19,NA,NA
