"Name","Latitude","Longitude","MatchStatus","PlaceID","OsmID","Dist_m","Rating","UserRatingsTotal","URL","OpeningHours"
"GooNoo Black Coffee",17.2909708,98.3539659,"google_only","ChIJyWb9jzL73DARgR2LJlcBy00",NA,NA,4.5,2,NA,NA
"Forest Coffee beans",17.2940687,98.3483562,"google_only","ChIJcTVqE9v73DARteCtS5wDvXQ",NA,NA,5,1,NA,NA
"Coffee master กาแฟคั่วมือ",17.315479,98.33291,"google_only","ChIJrQLWVHPx3DARnBk3AhgFURg",NA,NA,NA,NA,NA,NA
"โรงตาก กาแฟ",17.3664375,98.4821875,"google_only","ChIJDWYN3Uf33DARSunxm6c1bTc",NA,NA,5,1,NA,NA
"มาดามคอฟฟี่ ณ.ทีวาโกล",17.376925,98.483606,"google_only","ChIJfzwqpu333DARBtvQkp9HI9E",NA,NA,5,4,NA,NA
"มิกะ คาเฟ่ mika.cafe",17.3911913,98.4626625,"google_only","ChIJEaBO54z33DAR3LMwgLZDBAw",NA,NA,5,4,NA,NA
"Tuen Coffee",17.3975883,98.4608785,"google_only","ChIJd-nL-fD13DARKDFKApCHhWg",NA,NA,5,24,NA,NA
"หลงยุค ๙๐ คาแฟ่",17.4002161,98.4668874,"google_only","ChIJ3SAy17f13DARJ_NqB6uU1cQ",NA,NA,5,4,NA,NA
"Country Road 1099 Cafe'",17.40024949999999,98.4578362,"google_only","ChIJD0DLpt713DARkMoj2CPWnCE",NA,NA,3.5,2,NA,NA
"Nan nat bakery & coffee",17.401821,98.457377,"google_only","ChIJn1gIDdz13DARAUwXqws5rdM",NA,NA,4.1,22,NA,NA
"ม่อนอีลู&ชาคุมะบ้านใหม่",17.4023799,98.4561121,"google_only","ChIJgRaRcUv13DARLk1AkgI1Yl0",NA,NA,NA,NA,NA,NA
"ร้าน​กาแฟ​กะเจ่อ​ถิ(ตีน​ดอน)​",17.4026879,98.4555976,"google_only","ChIJ7X4DtXr13DARJMsVl6Omw3s",NA,NA,NA,NA,NA,NA
"ร้าน Check in เมืองตื๋น",17.4103296,98.4550234,"google_only","ChIJrYxf2yH13DAR2Nm0dzxWUmk",NA,NA,NA,NA,NA,NA
"พอเพียงคาเฟ่",17.4141239,98.456706,"google_only","ChIJPXqd-tX13DARS2UWGaeyu-g",NA,NA,4.5,4,NA,NA
"เก๊าบะขามคาเฟ่",17.4300834,98.5344118,"google_only","ChIJ6x2tBatf3DARGmAY6TmkL9E",NA,NA,NA,NA,NA,NA
"หม่าวี่โจcoffee@homestay",17.4960638,98.4848861,"google_only","ChIJ6RVvKzRf3DARQAnpYYGKfxQ",NA,NA,5,7,NA,NA
"เก่อชอวา คอฟฟี่",17.4997563,98.4838145,"google_only","ChIJ87wGTUCL3DAR5e7kacZ-j5s",NA,NA,NA,NA,NA,NA
"Napee por coffee",17.569218,98.523619,"google_only","ChIJCbXHCZNh3DARHQnbpPchLKw",NA,NA,NA,NA,NA,NA
"ลูกเขยดอย coffee",17.572276,98.522539,"google_only","ChIJRfJEUwBh3DARxrECiHk7oJs",NA,NA,5,2,NA,NA
